run_id,model,bin,conf,acc,size
4,MLP,1,0.001916367312200822,0.12111801242236025,2254
4,MLP,2,0.005749251490023679,0.01020408163265306,2254
4,MLP,3,0.04256176457432811,0.5173025732031943,2254
4,MLP,4,0.19721872189993478,0.7120674356699201,2254
4,MLP,5,0.48426770788524803,0.5572315882874889,2254
4,MLP,6,0.8672579395934698,0.8114463176574978,2254
4,MLP,7,0.9999601577472172,0.9764862466725821,2254
4,MLP,8,0.9999999597557867,0.9920141969831411,2254
4,MLP,9,0.9999999597557868,0.9929140832595217,2258
4,XGBoost,0,9.927186907836202e-34,0.0,2254
4,XGBoost,1,9.278751942775187e-33,0.019077196095829637,2254
4,XGBoost,2,8.14238693791209e-28,0.0771960958296362,2254
4,XGBoost,3,2.2659832888300327e-18,0.39840283939662824,2254
4,XGBoost,4,5.360012834948031e-10,0.6774622892635315,2254
4,XGBoost,5,0.17720178628480213,0.7289263531499557,2254
4,XGBoost,6,0.9999702644846404,0.8642413487133984,2254
4,XGBoost,7,1.0,0.9755989352262644,2254
4,XGBoost,8,1.0,0.9787045252883763,2254
4,XGBoost,9,1.0,0.9720992028343667,2258
5,QSVM,0,0.01646928002645411,0.16725820763087842,2254
5,QSVM,1,0.03002311816474724,0.0878438331854481,2254
5,QSVM,2,0.03435990821818056,0.019520851818988466,2254
5,QSVM,3,0.03928646358411857,0.23469387755102042,2254
5,QSVM,4,0.1294699211964249,0.6814551907719609,2254
5,QSVM,5,0.41503042541841134,0.6881100266193434,2254
5,QSVM,6,0.7962095492472504,0.8868677905944987,2254
5,QSVM,7,0.9494157000223544,0.9622892635314996,2254
5,QSVM,8,0.9804491263346735,0.9702750665483585,2254
5,QSVM,9,0.9955321749943938,0.9933569530558016,2258
5,SVM-RBF,0,0.030832541455152022,0.15661047027506655,2254
5,SVM-RBF,1,0.043879098046676016,0.06832298136645963,2254
5,SVM-RBF,2,0.06823436804750241,0.17834960070984915,2254
5,SVM-RBF,3,0.08898305834183677,0.2329192546583851,2254
5,SVM-RBF,4,0.21709080788004115,0.6796805678793256,2254
5,SVM-RBF,5,0.5055197833543574,0.7701863354037267,2254
5,SVM-RBF,6,0.6839028131598338,0.6486246672582077,2254
5,SVM-RBF,7,0.9575615889005207,0.9569653948535937,2254
5,SVM-RBF,8,0.9943023552886247,1.0,2254
5,SVM-RBF,9,0.9950438384094199,1.0,2258
5,RandomForest,0,1.0565846557581234e-59,0.0,2254
5,RandomForest,1,1.0565846557581234e-59,0.0008873114463176575,2254
