ece_full,ece_rare,brier_full,brier_rare,auc_pr,f1,run_id,model,repr,n_features
0.19857646557393657,0.7559139692362984,0.20380836959197843,0.7462251775562809,0.9483109894645527,0.7861936720997124,4,RandomForest,pca4,4
0.19328957366280558,0.7244476622761036,0.20081506013273182,0.7201267635075362,0.9427217792278204,0.7939906441165887,4,XGBoost,pca4,4
0.16807287978610125,0.6528437446957869,0.16418013870972872,0.6342553597510155,0.9636971535673242,0.8317067785383087,4,RandomForest,k20,20
0.1740468780271082,0.6248063271423047,0.17545457724577668,0.6205206678822525,0.9493978085273472,0.8332967274324621,4,XGBoost,k20,20
0.17358347841488142,0.8071165013071778,0.17350628951942115,0.7871350041954233,0.9670527343214258,0.8071862807367752,4,RandomForest,all122,122
0.17428018608131793,0.825478349308499,0.17364544890115788,0.8183722201750652,0.9529355202674197,0.8222937337981586,4,XGBoost,all122,122
0.22347113649249734,0.7165303018806687,0.22179952986084928,0.7003053372492073,0.9469499174747302,0.7652639702210722,5,RandomForest,pca4,4
0.21248691992561752,0.7067676393254915,0.21124938688315506,0.6728393651219724,0.9503600843889548,0.7741703390592679,5,XGBoost,pca4,4
0.20695180977401395,0.7657270075685558,0.2115161467430945,0.7523001791049637,0.9615351943608661,0.786388543537321,5,RandomForest,k20,20
0.20968258573476345,0.7130572222425559,0.2138208972471362,0.6784443938321415,0.9481092465586759,0.7787769784172662,5,XGBoost,k20,20
0.1818404515281703,0.8039218803782344,0.18755674092355187,0.7665365956254582,0.9643476155848477,0.7889139542378344,5,RandomForest,all122,122
0.20477136552690178,0.8673739609527388,0.20820956971589388,0.858808258783237,0.9374459553997337,0.7731578701759299,5,XGBoost,all122,122
0.20542880045630282,0.6493219961436979,0.20521053580404774,0.6101927935607367,0.9380538250132237,0.8031912587260981,6,RandomForest,pca4,4
0.14652844315980468,0.4935672265275634,0.17951364550497032,0.473366729653348,0.9473570740342848,0.8210687412319857,6,XGBoost,pca4,4
0.14901901692434205,0.5402557229726792,0.1431780806324149,0.43446792783261534,0.9648837958063852,0.8005416384563304,6,RandomForest,k20,20
0.17857546598614274,0.5159126390812776,0.19431387381024637,0.48799669506928134,0.947960751776626,0.7766843300529902,6,XGBoost,k20,20
0.17541132162547382,0.723872033392506,0.17725374086204343,0.6893459632564111,0.9671553896304411,0.805901044030867,6,RandomForest,all122,122
