f1,acc,ece_full,mce_full,ece_rare,mce_rare,brier_full,brier_rare,auc_roc,auc_pr,platt_A,platt_B,run_id,model,n_train
0.8516366612111292,0.8391589779985805,0.13428785390169182,0.4388045248991534,0.46379886694104894,0.8845077936676701,0.1410210372271246,0.3092316827809757,0.9317281233139163,0.9417488859916123,4.79269,-0.76771,2,QSVM,99
0.8437967401725791,0.8193310858765082,0.10410234910914128,0.46502712341276203,0.3469775034705424,0.6781124222050778,0.14881754130536085,0.16614598735653982,0.9009144250126884,0.9028936371131813,2.72775,-0.85409,2,SVM-RBF,99
0.8440990772219524,0.8291341376863024,0.14512634702637559,0.5545701268488026,0.3595118005967338,0.9946683683436204,0.15480720113251703,0.2939449297596075,0.9272286343302427,0.9410614083230381,10.80093,-0.37019,2,RandomForest,99
0.8097330729166666,0.792583392476934,0.11349687909538353,0.36366551485931065,0.42726834645422623,0.8224243617842306,0.14327923022132993,0.2515933134583263,0.8947363701489689,0.9281565548617099,1.47071,0.01973,2,MLP,99
0.8399653297612482,0.819819020581973,0.14009242019846946,0.4163843461813028,0.2900514067146974,0.999792790140071,0.17385531484961786,0.27289056004600415,0.9126913358276589,0.9351524477953357,8.81166,0.44544,2,XGBoost,99
0.8059159544790329,0.8055801987224982,0.1190874516089661,0.4114460616175614,0.46522511687529816,0.9032610845736062,0.1334935564636923,0.31381614693587334,0.9358081252956005,0.9502457023565026,3.846,0.27681,2,QSVM,200
0.8541791342509475,0.8378726046841731,0.10336286380089381,0.43538671047074545,0.39541026045051714,0.7927769727131447,0.13619555069599748,0.21300219492849753,0.9026298465615776,0.9314842779282044,2.20927,-0.43121,2,SVM-RBF,200
0.8215810583516626,0.8164921930447125,0.14094576733915895,0.5041015831271818,0.4167365514931386,0.9989378416169432,0.1572640231518321,0.36523043342385086,0.9272382514691735,0.9426585586969335,8.58872,1.67261,2,RandomForest,200
0.7763807813201616,0.7790986515259049,0.1285353856008485,0.47361509580849404,0.5685348215027531,0.8568136042112711,0.15201701437052775,0.3799043054705079,0.8840596287328593,0.9285934055585027,1.35302,0.04624,2,MLP,200
0.8429489855556483,0.8331263307310149,0.1503982388029786,0.41594836640150556,0.3671836874136943,0.9998523719356852,0.15344639727508635,0.3358973235381979,0.9116836345977332,0.9375946824277067,5.71735,1.64777,2,XGBoost,200
0.7751651499052986,0.784111071682044,0.1243977397978374,0.4026821503287759,0.5047350619219164,0.9817277402602183,0.14045885304858588,0.42974621914159,0.8922440587044925,0.9335873117052857,4.24276,1.20059,2,QSVM,500
0.7219259045696987,0.7433019872249823,0.1718746899012338,0.5800961203503051,0.7118563986424206,0.8909018206751222,0.18170597724206283,0.5615434044589702,0.8707650595709338,0.9178956162088119,2.34639,0.30378,2,SVM-RBF,500
0.8083584661783714,0.8026969481902059,0.16677941363685536,0.6341470911645032,0.5704991350103085,0.9999960574467829,0.18247146222582952,0.5313192208859734,0.9372304949276594,0.9483355539634675,8.99474,0.44129,2,RandomForest,500
