f1,acc,ece_full,mce_full,ece_rare,mce_rare,brier_full,brier_rare,auc_roc,auc_pr,platt_A,platt_B,run_id,model,mix,n_test
0.8392337372233128,0.8616853998019918,0.08468536082141595,0.4592749453264437,,,0.11483441588708443,,0.8671961717772306,0.9071775297104625,1.24134,0.05868,2,MLP,DoS_only,17171
0.8263968228061586,0.835701781484914,0.13532648133193384,0.4957948421388258,0.47312012381529434,0.9999917073581672,0.15393361524694849,0.4233727933834051,0.9269067429624394,0.9316240291864017,3.19851,-0.1313,2,XGBoost,Balanced_50/50,19422
0.8567298699090213,0.8161684486144447,0.16467589981724098,0.7019118489102631,0.46995923326553307,0.9999924038454906,0.17473760224216348,0.41959254997578677,0.9274579892518021,0.966692018178631,3.19851,-0.1313,2,XGBoost,AttackHeavy_30/70,18332
0.8468553671553064,0.8679750742531012,0.08943251956921233,0.3209049851361182,,,0.12348127986268902,,0.9409446543995463,0.9394023118642182,3.19851,-0.1313,2,XGBoost,DoS_only,17171
0.7963623395149786,0.8236021007105344,0.12274227916227215,0.38579763873316514,0.4951296224183482,0.9614070733645439,0.13777889642166463,0.39857210946533633,0.9104580782301861,0.9275314093949956,3.42076,0.10104,3,QSVM,Balanced_50/50,19422
0.8081885742944421,0.7705105825878246,0.18832674232104626,0.6820410268664028,0.4945864445212886,0.9610839191703483,0.17697680362134252,0.3971578928235018,0.9109583861064006,0.9632711985928464,3.42076,0.10104,3,QSVM,AttackHeavy_30/70,18332
0.8481568168519602,0.879098479995341,0.07077204901641258,0.1653486960531736,,,0.09615802832140667,,0.9268784562875134,0.9327268299144738,3.42076,0.10104,3,QSVM,DoS_only,17171
0.7025149546536309,0.761867984759551,0.1228247527725111,0.5709105085868993,0.5817937610964289,0.8661418558960784,0.14436585975342012,0.3948269153810856,0.9244411722442474,0.9160085299117996,2.33202,0.19225,3,SVM-RBF,Balanced_50/50,19422
0.7118761096863286,0.6813222779838534,0.19552489286641742,0.6340041925654221,0.5860377644115136,0.8677744507997533,0.1808864086614626,0.3997500801275572,0.9241087266109194,0.9601580829022277,2.33202,0.19225,3,SVM-RBF,AttackHeavy_30/70,18332
0.7691461786191187,0.8288393221128647,0.1127279051670126,0.42259370144953723,,,0.12641499410261572,,0.92707014902257,0.9009760973428634,2.33202,0.19225,3,SVM-RBF,DoS_only,17171
