run_id,model,threshold,f1_macro,fpr,recall_R2L,recall_U2R
2,RandomForest,0.1,0.8136815057926552,0.10688909484090207,0.468630849220104,0.2835820895522388
2,RandomForest,0.15,0.8099839039457084,0.10194624652455977,0.45337954939341424,0.2835820895522388
2,RandomForest,0.2,0.8083084599036382,0.09895994233343632,0.4440207972270364,0.26865671641791045
2,RandomForest,0.25,0.8040824876912194,0.09556173411595098,0.4180242634315425,0.22388059701492538
2,RandomForest,0.3,0.8014991393568758,0.09412007002368449,0.40346620450606585,0.208955223880597
2,RandomForest,0.35,0.8000120737776824,0.09267840593141798,0.395840554592721,0.208955223880597
2,RandomForest,0.4,0.798575456160848,0.08948614972711358,0.3871750433275563,0.19402985074626866
2,RandomForest,0.45,0.7934689843945109,0.0821748532591906,0.3292894280762565,0.19402985074626866
2,RandomForest,0.5,0.7878702501651695,0.07702605292966738,0.2755632582322357,0.19402985074626866
2,RandomForest,0.55,0.7872447132917468,0.07620224487694367,0.2738301559792028,0.19402985074626866
2,RandomForest,0.6,0.7853731204560476,0.07599629286376275,0.2703639514731369,0.19402985074626866
2,RandomForest,0.65,0.7839417513689827,0.0749665327978581,0.26447140381282497,0.1791044776119403
2,RandomForest,0.7,0.7835750614659116,0.07311296467922974,0.26031195840554594,0.16417910447761194
2,RandomForest,0.75,0.7834722519383195,0.07084749253423953,0.2578856152512998,0.16417910447761194
2,RandomForest,0.8,0.7805968924793842,0.06919987642879209,0.25268630849220103,0.13432835820895522
2,RandomForest,0.85,0.7772145544999269,0.0671403562969828,0.24922010398613517,0.11940298507462686
2,RandomForest,0.9,0.7721558086077311,0.06538976418494491,0.24540727902946274,0.11940298507462686
2,RandomForest,0.95,0.7830765738667459,0.027494593759654,0.23778162911611786,0.1044776119402985
2,MLP,0.05,0.8477161048940884,0.2182061579651941,0.9376083188908145,0.8208955223880597
2,MLP,0.1,0.8345006469137481,0.20121511687776747,0.8152512998266898,0.6567164179104478
2,MLP,0.15,0.8242188813329892,0.1916383482648543,0.7341421143847487,0.5671641791044776
2,MLP,0.2,0.8223546466981102,0.17845741942127485,0.6956672443674177,0.44776119402985076
2,MLP,0.25,0.8203101834122783,0.1623931623931624,0.6367417677642981,0.417910447761194
2,MLP,0.3,0.8218947554036271,0.14828544949026876,0.6055459272097053,0.3582089552238806
2,MLP,0.35,0.8223973012095842,0.13912058490371743,0.5833622183708839,0.34328358208955223
2,MLP,0.4,0.8190371496668765,0.13077952836988982,0.5376083188908145,0.26865671641791045
2,MLP,0.45,0.8159295234663505,0.12346823190196685,0.49393414211438474,0.208955223880597
2,MLP,0.5,0.8131753522543406,0.11687776748017711,0.4592720970537262,0.16417910447761194
2,MLP,0.55,0.8106321107269403,0.10606528678817835,0.41109185441941076,0.14925373134328357
2,MLP,0.6,0.7974906771567282,0.08474925342395222,0.25233968804159446,0.14925373134328357
2,MLP,0.65,0.790718682392527,0.07887962104829575,0.2339688041594454,0.11940298507462686
