run_id,model,category,n,label,mean_prob,std_prob
7,RandomForest,R2L,2885,1,0.4957198978987145,0.48737694177078394
7,RandomForest,U2R,67,1,0.3238406324409696,0.43679935563507605
7,MLP,Normal,9711,0,0.11790907520171823,0.234984379363514
7,MLP,DoS,7460,1,0.7764526156721927,0.3515885431182511
7,MLP,Probe,2421,1,0.9591995760779274,0.11277058253792463
7,MLP,R2L,2885,1,0.5002299744381176,0.22447237929340938
7,MLP,U2R,67,1,0.32517050908268014,0.24142779347279328
7,XGBoost,Normal,9711,0,0.06938132035074697,0.2454509404771591
7,XGBoost,DoS,7460,1,0.7396609131743993,0.4268185187246411
7,XGBoost,Probe,2421,1,0.9500723377791611,0.20646690093633246
7,XGBoost,R2L,2885,1,0.472073891743434,0.47906502398863376
7,XGBoost,U2R,67,1,0.344938946584179,0.4665145617883369
8,QSVM,Normal,9711,0,0.10591873191553393,0.21428317955318013
8,QSVM,DoS,7460,1,0.7707403092710136,0.3407176151192136
8,QSVM,Probe,2421,1,0.7218406389169095,0.33653311248440426
8,QSVM,R2L,2885,1,0.468587960011105,0.3458916739726115
8,QSVM,U2R,67,1,0.493319614076682,0.3775613271235318
8,SVM-RBF,Normal,9711,0,0.1305275985421972,0.20535776662616265
8,SVM-RBF,DoS,7460,1,0.7204392937969291,0.3749704482605198
8,SVM-RBF,Probe,2421,1,0.7959981668027556,0.31880545300928836
8,SVM-RBF,R2L,2885,1,0.47741993627338625,0.2690057066722052
8,SVM-RBF,U2R,67,1,0.601137329320377,0.28114850780269696
8,RandomForest,Normal,9711,0,0.06865726600591528,0.21885727084026707
8,RandomForest,DoS,7460,1,0.751050427923517,0.4210775212097912
8,RandomForest,Probe,2421,1,0.904168628330495,0.26949858738305343
8,RandomForest,R2L,2885,1,0.31432580002296495,0.4059293605426086
8,RandomForest,U2R,67,1,0.3756283984934546,0.4656795037764651
8,MLP,Normal,9711,0,0.11410193869666826,0.2364301720418994
8,MLP,DoS,7460,1,0.7914743926050763,0.34878769041110314
8,MLP,Probe,2421,1,0.8842661234471508,0.1915766268887472
8,MLP,R2L,2885,1,0.4853848743606973,0.22063313914491423
8,MLP,U2R,67,1,0.44276849050209494,0.19916285635132946
8,XGBoost,Normal,9711,0,0.08450887864140158,0.26888512591901575
8,XGBoost,DoS,7460,1,0.7583229128409646,0.4163847258025123
8,XGBoost,Probe,2421,1,0.9340361427825321,0.21479486255357758
8,XGBoost,R2L,2885,1,0.29478111061689033,0.41424366014407016
8,XGBoost,U2R,67,1,0.36645097726015374,0.4495811737404748
9,QSVM,Normal,9711,0,0.09235290238716555,0.21290010324033987
9,QSVM,DoS,7460,1,0.7269823296586377,0.3701060648931674
9,QSVM,Probe,2421,1,0.6941210446750614,0.3582912861096331
9,QSVM,R2L,2885,1,0.4391263375876115,0.36928534207805225
9,QSVM,U2R,67,1,0.5111222618355947,0.4070101097904627
9,SVM-RBF,Normal,9711,0,0.1218748419772675,0.21879163719619862
9,SVM-RBF,DoS,7460,1,0.708833502889639,0.4011525502644834
9,SVM-RBF,Probe,2421,1,0.8542550364443605,0.19927715905145982
9,SVM-RBF,R2L,2885,1,0.49127133959363223,0.23696883501472124
9,SVM-RBF,U2R,67,1,0.4804094638061503,0.202695728726745
9,RandomForest,Normal,9711,0,0.06272391136967269,0.21550656642771593
9,RandomForest,DoS,7460,1,0.730796258508677,0.4238192791486359
9,RandomForest,Probe,2421,1,0.8023183138540771,0.379131671983163
9,RandomForest,R2L,2885,1,0.2606570443656215,0.41822169154934424
9,RandomForest,U2R,67,1,0.3900148607072887,0.4716095970238891
9,MLP,Normal,9711,0,0.12209633113825688,0.23971297258272975
9,MLP,DoS,7460,1,0.7692011670221398,0.36997068519801235
9,MLP,Probe,2421,1,0.8977213823356052,0.18887037400148743
9,MLP,R2L,2885,1,0.49145087745268085,0.24976308683864304
9,MLP,U2R,67,1,0.4586986364113553,0.2088884736801549
9,XGBoost,Normal,9711,0,0.0880732741870916,0.2680646245301989
9,XGBoost,DoS,7460,1,0.7495395096792108,0.4201118950055709
9,XGBoost,Probe,2421,1,0.8708907007309796,0.30323897077389567
9,XGBoost,R2L,2885,1,0.34362524050974186,0.43875711859910144
9,XGBoost,U2R,67,1,0.44955602402461126,0.4485591896239658
10,QSVM,Normal,9711,0,0.08771048132097269,0.19424206969321176
10,QSVM,DoS,7460,1,0.8101038552328244,0.3150138323336478
10,QSVM,Probe,2421,1,0.7634457927555447,0.335222569067883
10,QSVM,R2L,2885,1,0.4926564043205098,0.3794816441695438
10,QSVM,U2R,67,1,0.45408934629873876,0.36333420413507306
10,SVM-RBF,Normal,9711,0,0.1637793450886087,0.2203280787432987
10,SVM-RBF,DoS,7460,1,0.8191401484070424,0.2913515142276381
10,SVM-RBF,Probe,2421,1,0.8300831235314634,0.2832351631867385
10,SVM-RBF,R2L,2885,1,0.4705486618034427,0.28615686192753453
10,SVM-RBF,U2R,67,1,0.4747114877228249,0.36052005140291377
10,RandomForest,Normal,9711,0,0.09593950738523851,0.27370900074936555
10,RandomForest,DoS,7460,1,0.8712443318997628,0.30946022052716055
10,RandomForest,Probe,2421,1,0.9439479111258596,0.16082180833793178
10,RandomForest,R2L,2885,1,0.43332620957021617,0.4457603705060356
10,RandomForest,U2R,67,1,0.3253507511107963,0.4174796591095116
10,MLP,Normal,9711,0,0.1164084512325142,0.24624111887465103
10,MLP,DoS,7460,1,0.7946352697415059,0.3356326499972934
10,MLP,Probe,2421,1,0.9171865372182613,0.19696477191428213
10,MLP,R2L,2885,1,0.43401091034348016,0.27605034828839486
10,MLP,U2R,67,1,0.3755767210984446,0.26236261488489604
10,XGBoost,Normal,9711,0,0.08927880051855716,0.2681012691591029
10,XGBoost,DoS,7460,1,0.8915379238314568,0.30046273198915435
10,XGBoost,Probe,2421,1,0.9335477648077405,0.22227777296672846
10,XGBoost,R2L,2885,1,0.3948900581958674,0.45300692226646283
10,XGBoost,U2R,67,1,0.3234652534038037,0.4374752594665558
