run_id,model,calibrator,category,mean_prob
5,RandomForest,isotonic,R2L,0.28483306342287334
5,RandomForest,isotonic,U2R,0.3089059528775587
5,RandomForest,temperature,Normal,0.07797669433236531
5,RandomForest,temperature,DoS,0.7331165531091938
5,RandomForest,temperature,Probe,0.8734711620933431
5,RandomForest,temperature,R2L,0.29583971413687316
5,RandomForest,temperature,U2R,0.3142329794581847
5,MLP,platt,Normal,0.11424210699098222
5,MLP,platt,DoS,0.7746702431902137
5,MLP,platt,Probe,0.920285624336418
5,MLP,platt,R2L,0.47452810688103975
5,MLP,platt,U2R,0.3944329665947293
5,MLP,isotonic,Normal,0.1021094855241608
5,MLP,isotonic,DoS,0.7615016746556605
5,MLP,isotonic,Probe,0.9475825839872107
5,MLP,isotonic,R2L,0.42977374161830517
5,MLP,isotonic,U2R,0.3446926671510652
5,MLP,temperature,Normal,0.12071267885403349
5,MLP,temperature,DoS,0.7801683645671275
5,MLP,temperature,Probe,0.9264871406707582
5,MLP,temperature,R2L,0.49949494525006205
5,MLP,temperature,U2R,0.4194635152739553
5,XGBoost,platt,Normal,0.07397008778427956
5,XGBoost,platt,DoS,0.7270604325657338
5,XGBoost,platt,Probe,0.9163955122339321
5,XGBoost,platt,R2L,0.29243421525652386
5,XGBoost,platt,U2R,0.3276002641205577
5,XGBoost,isotonic,Normal,0.06867667397887246
5,XGBoost,isotonic,DoS,0.7240281996760745
5,XGBoost,isotonic,Probe,0.911205532471319
5,XGBoost,isotonic,R2L,0.27624681203110296
5,XGBoost,isotonic,U2R,0.3134332089552239
5,XGBoost,temperature,Normal,0.08039242064033544
5,XGBoost,temperature,DoS,0.7351002974170192
5,XGBoost,temperature,Probe,0.9234735700107058
5,XGBoost,temperature,R2L,0.32257457178500076
5,XGBoost,temperature,U2R,0.3552253903043768
6,QSVM,platt,Normal,0.12180123028349917
6,QSVM,platt,DoS,0.7324761295310566
6,QSVM,platt,Probe,0.6947559357770707
6,QSVM,platt,R2L,0.45700654724472306
6,QSVM,platt,U2R,0.38758972620646076
6,QSVM,isotonic,Normal,0.1096566242991456
6,QSVM,isotonic,DoS,0.7381055434263969
6,QSVM,isotonic,Probe,0.6952670206697137
6,QSVM,isotonic,R2L,0.4541204968730095
6,QSVM,isotonic,U2R,0.4308456037067953
6,QSVM,temperature,Normal,0.11188793472290788
6,QSVM,temperature,DoS,0.7196738820881289
6,QSVM,temperature,Probe,0.6774963411560828
6,QSVM,temperature,R2L,0.4309828951792483
6,QSVM,temperature,U2R,0.36458919676857576
6,SVM-RBF,platt,Normal,0.1608057589589454
6,SVM-RBF,platt,DoS,0.7528132392271778
6,SVM-RBF,platt,Probe,0.8075670477136261
6,SVM-RBF,platt,R2L,0.5510689102488279
6,SVM-RBF,platt,U2R,0.3197947610719023
6,SVM-RBF,isotonic,Normal,0.1362498319553146
6,SVM-RBF,isotonic,DoS,0.7471780758179463
6,SVM-RBF,isotonic,Probe,0.8425746750958748
6,SVM-RBF,isotonic,R2L,0.4682162082139515
6,SVM-RBF,isotonic,U2R,0.35068283888812307
6,SVM-RBF,temperature,Normal,0.20939667286651023
6,SVM-RBF,temperature,DoS,0.7833134844666636
6,SVM-RBF,temperature,Probe,0.8418002378243304
6,SVM-RBF,temperature,R2L,0.6585035166447527
6,SVM-RBF,temperature,U2R,0.40252335018959723
6,RandomForest,platt,Normal,0.08133240934062468
6,RandomForest,platt,DoS,0.7508415219357109
6,RandomForest,platt,Probe,0.872284088149349
6,RandomForest,platt,R2L,0.3533275296053504
6,RandomForest,platt,U2R,0.23659021600516564
6,RandomForest,isotonic,Normal,0.08871608220851789
6,RandomForest,isotonic,DoS,0.76129909079574
6,RandomForest,isotonic,Probe,0.8804735355695228
6,RandomForest,isotonic,R2L,0.39311520994688876
6,RandomForest,isotonic,U2R,0.23633918916668056
6,RandomForest,temperature,Normal,0.09483256040396701
6,RandomForest,temperature,DoS,0.7690158630495446
6,RandomForest,temperature,Probe,0.8882391732758046
6,RandomForest,temperature,R2L,0.4379467390408925
6,RandomForest,temperature,U2R,0.25478799387616713
6,MLP,platt,Normal,0.12447511500732529
6,MLP,platt,DoS,0.781245015038374
6,MLP,platt,Probe,0.878169145662235
6,MLP,platt,R2L,0.46212483656645575
6,MLP,platt,U2R,0.355397079348382
6,MLP,isotonic,Normal,0.12193637714041093
6,MLP,isotonic,DoS,0.7646141351835766
6,MLP,isotonic,Probe,0.9007914750931225
6,MLP,isotonic,R2L,0.38894968797114166
6,MLP,isotonic,U2R,0.28485809240526294
6,MLP,temperature,Normal,0.12647517178643025
6,MLP,temperature,DoS,0.78298459440123
6,MLP,temperature,Probe,0.8805056656139937
6,MLP,temperature,R2L,0.4695164689528489
6,MLP,temperature,U2R,0.3626438228771705
6,XGBoost,platt,Normal,0.10254754499277108
6,XGBoost,platt,DoS,0.7886029170671911
6,XGBoost,platt,Probe,0.9198435462520377
6,XGBoost,platt,R2L,0.5115962124234483
6,XGBoost,platt,U2R,0.28409663356693554
6,XGBoost,isotonic,Normal,0.10318174409544215
6,XGBoost,isotonic,DoS,0.7888648615015099
6,XGBoost,isotonic,Probe,0.920038704197934
6,XGBoost,isotonic,R2L,0.515436426206974
6,XGBoost,isotonic,U2R,0.30014464300680355
6,XGBoost,temperature,Normal,0.10649406591987293
6,XGBoost,temperature,DoS,0.7945802541360679
6,XGBoost,temperature,Probe,0.9235153283555988
6,XGBoost,temperature,R2L,0.5254138856957177
6,XGBoost,temperature,U2R,0.30157053777027504
7,QSVM,platt,Normal,0.10934869592446883
7,QSVM,platt,DoS,0.7845403545189449
7,QSVM,platt,Probe,0.7415766399939858
7,QSVM,platt,R2L,0.4280480964295164
7,QSVM,platt,U2R,0.4260059201931771
7,QSVM,isotonic,Normal,0.10476928541628
7,QSVM,isotonic,DoS,0.802125274101282
7,QSVM,isotonic,Probe,0.7547304070751439
7,QSVM,isotonic,R2L,0.45608386264190737
7,QSVM,isotonic,U2R,0.4452754075983757
7,QSVM,temperature,Normal,0.1183962816298509
7,QSVM,temperature,DoS,0.79661228014153
7,QSVM,temperature,Probe,0.7574325296916227
7,QSVM,temperature,R2L,0.4507513652164029
7,QSVM,temperature,U2R,0.44902405678145
7,SVM-RBF,platt,Normal,0.14026639131526292
7,SVM-RBF,platt,DoS,0.7305881384947068
7,SVM-RBF,platt,Probe,0.8553135964641907
7,SVM-RBF,platt,R2L,0.5311729555100463
7,SVM-RBF,platt,U2R,0.3466560699103665
7,SVM-RBF,isotonic,Normal,0.11493586988080594
7,SVM-RBF,isotonic,DoS,0.7293970480031685
7,SVM-RBF,isotonic,Probe,0.8807442451337445
7,SVM-RBF,isotonic,R2L,0.4352068754569775
7,SVM-RBF,isotonic,U2R,0.40014479570959127
7,SVM-RBF,temperature,Normal,0.16243374811951594
7,SVM-RBF,temperature,DoS,0.7478550301133846
7,SVM-RBF,temperature,Probe,0.8709166363706239
7,SVM-RBF,temperature,R2L,0.5936926190222158
7,SVM-RBF,temperature,U2R,0.3936007078157115
7,RandomForest,platt,Normal,0.07162419957523149
7,RandomForest,platt,DoS,0.7893851990932989
7,RandomForest,platt,Probe,0.9410813119703054
7,RandomForest,platt,R2L,0.4957198978987145
7,RandomForest,platt,U2R,0.3238406324409696
7,RandomForest,isotonic,Normal,0.07059237351053721
7,RandomForest,isotonic,DoS,0.7864883112235663
7,RandomForest,isotonic,Probe,0.9361176250928765
7,RandomForest,isotonic,R2L,0.49200567010931817
7,RandomForest,isotonic,U2R,0.3187092626714072
7,RandomForest,temperature,Normal,0.07142674055635338
7,RandomForest,temperature,DoS,0.7876014020678662
7,RandomForest,temperature,Probe,0.9439682839875598
7,RandomForest,temperature,R2L,0.4948620525668973
