ece_full,ece_rare,brier_full,brier_rare,auc_pr,run_id,model,calibrator,temperature
0.13595646590908328,0.5290532197971788,0.15068189191204387,0.42366654015998684,0.938824894601497,5,QSVM,platt,
0.12922389537611087,0.49881066777591443,0.13764340110883194,0.35732658771432974,0.9269822332765022,5,QSVM,isotonic,
0.1273526237000371,0.5130814846125702,0.14616903289544414,0.4049735953134653,0.938824894601497,5,QSVM,temperature,0.32100030199535795
0.10495519897747682,0.48420715720714563,0.13788709747827427,0.2565908437509077,0.9293487221290408,5,SVM-RBF,none,
0.11778574694526188,0.5221663198119486,0.1517691932598436,0.33628463076248194,0.9293487221290408,5,SVM-RBF,platt,
0.12093445619493916,0.5265909227509029,0.15151871920818055,0.32943503695036147,0.9126349441018943,5,SVM-RBF,isotonic,
0.11062113101091664,0.47918621268506945,0.14591735095238526,0.2953606156056987,0.9293487221290408,5,SVM-RBF,temperature,0.4703935913407248
0.15050284123393268,0.6346939736148751,0.15451523810264,0.4755575609641099,0.948625221839017,5,RandomForest,none,
0.22347113649249734,0.7165303018806687,0.22179952986084928,0.7003053372492073,0.9469499174747302,5,RandomForest,platt,
0.21478105322363175,0.7146205667961429,0.21313445453585117,0.689278699743627,0.8420832709354896,5,RandomForest,isotonic,
0.2221071675198721,0.7037428235404549,0.22048060738520994,0.6873473908437894,0.881969319533392,5,RandomForest,temperature,0.09598523686773829
0.09708606376553679,0.5002179942406488,0.12288941993257743,0.28020987645444456,0.9372633027537469,5,MLP,none,
0.10777468007198868,0.5272897706254585,0.12795788168534217,0.31416250755220293,0.9372633027537469,5,MLP,platt,
0.121074772535605,0.5721572990284783,0.13814822184852715,0.3819208427592292,0.9278145413380168,5,MLP,isotonic,
0.09930059329393233,0.5023214862568482,0.12450018357117174,0.2881150571545975,0.9372633027537469,5,MLP,temperature,0.8647699402175243
0.15988681930849308,0.6235175893483003,0.16213856637477875,0.4819088280200958,0.9503600843889548,5,XGBoost,none,
0.21248691992561752,0.7067676393254915,0.21124938688315506,0.6728393651219724,0.9503600843889548,5,XGBoost,platt,
0.21385036431129134,0.722909187767706,0.2127518506734981,0.6935858703854137,0.8384240285634483,5,XGBoost,isotonic,
0.20661337723386106,0.6766843696645933,0.20520890566005834,0.6349963787096187,0.9299924388353079,5,XGBoost,temperature,0.2904787014385654
0.21076953088201844,0.5314617751143008,0.16448583535277073,0.3093779576430577,0.9178385368674031,6,QSVM,none,
0.14604647087285721,0.5445168465962004,0.17245908236985252,0.40813448898536775,0.9178385368674031,6,QSVM,platt,
0.14546642910972032,0.54543636105865,0.16678658033539914,0.3988165185213785,0.9082160900373526,6,QSVM,isotonic,
0.15389156054969633,0.5704847885072564,0.17880074492580497,0.43654904917029935,0.9178385368674031,6,QSVM,temperature,0.3086248154522241
0.14549941337554015,0.4119152691806642,0.1384802139882106,0.19295721612464647,0.9182551501082985,6,SVM-RBF,none,
0.12708324102340446,0.454180198150513,0.14804988497901897,0.2632773279839495,0.9182551501082985,6,SVM-RBF,platt,
0.12374531126872423,0.5344513851955439,0.14880565347753896,0.32038538173552783,0.9133471055505834,6,SVM-RBF,isotonic,
0.10949489712754852,0.3473063313066346,0.1386086154230197,0.17567277131032363,0.9182551501082985,6,SVM-RBF,temperature,0.4769874213869429
0.12451964685708093,0.5417030991256936,0.136975478246796,0.37546910606166745,0.9398201475356949,6,RandomForest,none,
0.20542880045630463,0.6493219961437053,0.20521053580404888,0.6101927935607451,0.9380538140376559,6,RandomForest,platt,
0.19169558977487394,0.6104430533973774,0.1891039406676291,0.5456808995954938,0.8477538122068993,6,RandomForest,isotonic,
0.18072016079993716,0.5662103191996348,0.18655812065270388,0.5128588232904291,0.9112359376615056,6,RandomForest,temperature,0.13513273776212562
0.10870925441824401,0.5279740049793007,0.13318147975548486,0.3160453525785298,0.9291673372609371,6,MLP,none,
0.11661586772920869,0.5402975075167459,0.1368795884832236,0.3376461089038367,0.9291673372609371,6,MLP,platt,
0.14280807865822392,0.6134128245298456,0.15521420058770324,0.4262588882687692,0.9191409266506134,6,MLP,isotonic,
0.11546974015878629,0.5329091635969718,0.1358953545828826,0.3298151818338462,0.9290131007819081,6,MLP,temperature,0.8385087951367048
0.11485016028683032,0.5000325009671007,0.14445169270038605,0.3903975188732147,0.9492633247667036,6,XGBoost,none,
0.14652844315980468,0.4935672265275634,0.17951364550497032,0.473366729653348,0.9473570740342848,6,XGBoost,platt,
0.16711740120369603,0.4894499387911329,0.18110624640328243,0.4743199064915163,0.8361150498967571,6,XGBoost,isotonic,
0.15175091367692073,0.4796665696941891,0.17615886717856766,0.45925895559129587,0.9215192642299128,6,XGBoost,temperature,0.22251429716193719
0.19001221694331136,0.5159360453477689,0.14471929067969663,0.29228239831003544,0.9337689394991603,7,QSVM,none,
0.13777630658451995,0.5719982537763896,0.1537518274442744,0.45131740480997407,0.9337689394991603,7,QSVM,platt,
0.12955957162466927,0.5441614512090129,0.143041041890646,0.4035965980962154,0.9237849863713388,7,QSVM,isotonic,
0.1340517776022396,0.5492878385997021,0.14795823496861443,0.42502740908915565,0.9337689394991603,7,QSVM,temperature,0.3000342947778472
0.0853916918726921,0.44778328160916575,0.1286191007571689,0.22317776728822114,0.9322308876368214,7,SVM-RBF,none,
0.11110509294388968,0.47301492773357773,0.14533895325433555,0.276077079981086,0.9322308876368214,7,SVM-RBF,platt,
0.13478755274275306,0.565588910228346,0.14746540076141285,0.3663262220886034,0.9175325652590045,7,SVM-RBF,isotonic,
0.09289287581879427,0.4108487624313193,0.13740583233664988,0.22145619288875135,0.9322308876368214,7,SVM-RBF,temperature,0.4609531944169794
0.12285527945351318,0.5372335214543812,0.12912431514714542,0.37943660042156724,0.9531168504753161,7,RandomForest,none,
0.15019181545620827,0.5081811558904687,0.16548444419752434,0.4953787701242872,0.9452629090992243,7,RandomForest,platt,
0.16302013706073223,0.5119275478101737,0.16500346025720186,0.4963402546165683,0.8624384434640975,7,RandomForest,isotonic,
0.16150591419244148,0.5089722635695498,0.17183479277580316,0.5067407728944475,0.8609025802907317,7,RandomForest,temperature,0.024126159253622482
0.09984072727248082,0.4999274780048141,0.12704655169781714,0.29583172173962075,0.9385775311466221,7,MLP,none,
0.10218913867961676,0.503743258684787,0.12869868752294644,0.30500417673044555,0.9385775311466221,7,MLP,platt,
0.12783094025403482,0.5674181173592454,0.14271298632536739,0.3802689590303644,0.921114551312822,7,MLP,isotonic,
0.10075465744390757,0.4994692023226545,0.12817246142751124,0.3007650409082138,0.9378400201230128,7,MLP,temperature,0.8889126031955122
