f1,acc,ece_full,mce_full,ece_rare,mce_rare,brier_full,brier_rare,auc_roc,auc_pr,platt_A,platt_B,run_id,model,test_set,n_test,n_rare
0.8145529401235121,0.8161816891412349,0.14311878885446527,0.42324312542344594,0.5521834445526119,0.9936469943299309,0.14929655333265307,0.46481819667889496,0.8716691268006167,0.925812512380229,3.70763,0.21808,2,QSVM,full_kddtest_plus,22544,2952
0.8029777948915415,0.7957327892122072,0.13487152011291975,0.4979027104435051,0.5290522097964723,0.8872404107504298,0.15497942009990157,0.35577087011139197,0.8864365104372277,0.9230814235278848,2.3591,-0.07765,2,SVM-RBF,full_kddtest_plus,22544,2952
0.8057510207627486,0.8016323633782825,0.1883824568877937,0.6611222643430561,0.663891740270939,0.9999885718852922,0.18840841445362344,0.6114473416473304,0.9411995607844224,0.9524137655419358,5.09411,-0.8885,2,RandomForest,full_kddtest_plus,22544,2952
0.8218449062341612,0.8128992193044713,0.13206549983190058,0.4632149568165618,0.5793645123068901,0.9336680282659948,0.14879554690518945,0.4145513488909581,0.8867920998361251,0.9305713540025685,1.24134,0.05868,2,MLP,full_kddtest_plus,22544,2952
0.8402268178785858,0.8300212916962385,0.14957814407572145,0.5586778203171026,0.46995923326553307,0.9999924038454906,0.15998054182239338,0.41959254997578677,0.9279918548089181,0.9463819453063006,3.19851,-0.1313,2,XGBoost,full_kddtest_plus,22544,2952
0.7872340425531915,0.8,0.15771459392049247,0.49235546935772107,0.5500356520248494,0.9936705592045756,0.17557073749238308,0.47200515369885176,0.8262987012987013,0.9068474864235191,3.70763,0.21808,2,QSVM,sample100_cu,100,10
0.7924528301886793,0.78,0.17827363242336747,0.5481151884097983,0.5862974180608971,0.9043162250091861,0.17339746454722516,0.41948812015665615,0.8543019480519481,0.9070747520721815,2.3591,-0.07765,2,SVM-RBF,sample100_cu,100,10
0.7961165048543689,0.79,0.17952823941174456,0.7995125660754967,0.6684198670879554,0.9999965852127519,0.20655449261031833,0.5930147843198854,0.9346590909090909,0.948713691756479,5.09411,-0.8885,2,RandomForest,sample100_cu,100,10
0.7884615384615384,0.78,0.16019278119419447,0.6998484422186264,0.6396313138955361,0.9323066730129332,0.17808702819921504,0.4879327676346398,0.8323863636363636,0.9048010436890165,1.24134,0.05868,2,MLP,sample100_cu,100,10
0.8155339805825242,0.81,0.16651586908440602,0.6872863333041358,0.4152093241352984,0.9999991998587401,0.17614964797703547,0.34298971128886835,0.9253246753246753,0.9453342323135034,3.19851,-0.1313,2,XGBoost,sample100_cu,100,10
0.8017186793306196,0.8055358410220014,0.1393665322284186,0.5560916754832201,0.4945864445212886,0.9610839191703483,0.150788705937586,0.3971578928235018,0.9115580099681704,0.9420923741164191,3.42076,0.10104,3,QSVM,full_kddtest_plus,22544,2952
0.7066829865361077,0.7342530163236338,0.14670402435767038,0.5110404914496749,0.5860377644115136,0.8677744507997533,0.15681378463849227,0.3997500801275572,0.9244942373918968,0.9339783003573601,2.33202,0.19225,3,SVM-RBF,full_kddtest_plus,22544,2952
0.8041588240566461,0.8061568488289567,0.18713481765185502,0.6226619884699538,0.7069129099757432,0.9999999776201723,0.19024585982177666,0.673278598662005,0.9435509853563274,0.9526896369732238,5.74221,-1.34445,3,RandomForest,full_kddtest_plus,22544,2952
0.8070960929250264,0.7974183818310859,0.11416482265168322,0.4703262578934938,0.5407605744866009,0.8395178647563175,0.1372018333519121,0.34301882652024057,0.9111876397850341,0.9401804651414881,1.19981,-0.16785,3,MLP,full_kddtest_plus,22544,2952
0.8032524660090643,0.803584102200142,0.1854910441811218,0.7221129761554343,0.6834656351800404,0.9999932156327133,0.18552428021390235,0.6419530692524744,0.9424044474657587,0.9537426304178638,3.24638,-0.91652,3,XGBoost,full_kddtest_plus,22544,2952
0.8,0.81,0.14958250867549272,0.5906319581362727,0.39017046302856706,0.9438553749835445,0.14279665376802145,0.3051300573430885,0.9228896103896105,0.9501808128975358,3.42076,0.10104,3,QSVM,sample100_cu,100,10
