arm,test_split,n_train,comparison,baseline,baseline_family,metric,mean_delta,median_delta,ci_low,ci_high,raw_p,wilcoxon_p,effect_size_dz,positive_run_fraction,verdict_uncorrected,verdict,n_runs,holm_p
frozen_c2,fixed_300,100,QSVM_ZZ_vs_SVM_Linear,SVM_Linear,classical_kernel,f1_macro,-0.013732126397530986,0.013951148797082813,-0.07893989604376819,0.05147564324870622,0.6953125,0.6953125,-0.15064725423717523,0.6,inconclusive,inconclusive,10,1.0
frozen_c2,fixed_300,100,QSVM_ZZ_vs_SVM_Poly2,SVM_Poly2,classical_kernel,f1_macro,0.015780222727590353,-0.0010904520161747477,-0.04916300473113198,0.08072345018631269,0.76953125,0.76953125,0.17382091632436839,0.5,inconclusive,inconclusive,10,1.0
frozen_c2,fixed_300,100,QSVM_ZZ_vs_SVM_RBF,SVM_RBF,classical_kernel,f1_macro,-0.056578692208101265,-0.034644483656138814,-0.10866418142655217,-0.004493202989650363,0.02734375,0.02734375,-0.777067832311274,0.2,classical-favorable,inconclusive,10,0.08203125
frozen_c2,fixed_300,100,QSVM_ZZ_vs_RandomForest,RandomForest,strong_tabular,f1_macro,-0.043369158706348145,-0.023336678338822414,-0.10177094316990164,0.015032625757205348,0.16015625,0.16015625,-0.5312239595364621,0.4,inconclusive,inconclusive,10,0.3203125
frozen_c2,fixed_300,100,QSVM_ZZ_vs_XGBoost,XGBoost,strong_tabular,f1_macro,-0.03412924115885666,-0.01160151357944672,-0.0890709888440451,0.020812506526331778,0.431640625,0.431640625,-0.4443722558375807,0.4,inconclusive,inconclusive,10,0.431640625
frozen_c2,fixed_300,200,QSVM_ZZ_vs_QSVM_Z,QSVM_Z,entanglement,f1_macro,-0.03813679225289597,-0.03138246502666597,-0.06395732258391347,-0.012316261921878471,0.005859375,0.005859375,-1.0565785194932753,0.1,classical-favorable,classical-favorable,10,0.005859375
frozen_c2,fixed_300,200,QSVM_ZZ_vs_SVM_Linear,SVM_Linear,classical_kernel,f1_macro,0.008122813429306708,-0.0029244931596001944,-0.020950258896933117,0.03719588575554653,0.921875,0.921875,0.1998657251411771,0.5,inconclusive,inconclusive,10,0.921875
frozen_c2,fixed_300,200,QSVM_ZZ_vs_SVM_Poly2,SVM_Poly2,classical_kernel,f1_macro,0.037610828841615415,0.007348023094151446,-0.01921178085254506,0.09443343853577589,0.193359375,0.193359375,0.4734940245783048,0.6,inconclusive,inconclusive,10,0.38671875
frozen_c2,fixed_300,200,QSVM_ZZ_vs_SVM_RBF,SVM_RBF,classical_kernel,f1_macro,-0.03451488032475649,-0.027848671777556233,-0.05696291918968908,-0.012066841459823903,0.005859375,0.005859375,-1.0998937656703722,0.1,classical-favorable,classical-favorable,10,0.017578125
frozen_c2,fixed_300,200,QSVM_ZZ_vs_RandomForest,RandomForest,strong_tabular,f1_macro,-0.017964499031614532,-0.015064085566541707,-0.03402345179883262,-0.0019055462643964467,0.048828125,0.048828125,-0.8002407523610254,0.3,classical-favorable,classical-favorable,10,0.048828125
frozen_c2,fixed_300,200,QSVM_ZZ_vs_XGBoost,XGBoost,strong_tabular,f1_macro,-0.024667431435865594,-0.02000255657708294,-0.03686925920202302,-0.012465603669708171,0.001953125,0.001953125,-1.4461782093947204,0.0,classical-favorable,classical-favorable,10,0.00390625
frozen_c2,fixed_300,500,QSVM_ZZ_vs_QSVM_Z,QSVM_Z,entanglement,f1_macro,-0.024262034482412285,-0.02664395389225671,-0.04935132820556029,0.0008272592407357164,0.083984375,0.083984375,-0.6917697290091088,0.2,inconclusive,inconclusive,10,0.083984375
frozen_c2,fixed_300,500,QSVM_ZZ_vs_SVM_Linear,SVM_Linear,classical_kernel,f1_macro,0.01412685267200824,0.013856876472874091,0.0018478386516314182,0.02640586669238506,0.037109375,0.037109375,0.8230092091906499,0.8,QSVM-favorable,inconclusive,10,0.111328125
frozen_c2,fixed_300,500,QSVM_ZZ_vs_SVM_Poly2,SVM_Poly2,classical_kernel,f1_macro,-0.010404563956860634,-0.00268956954546018,-0.03531277554488476,0.014503647631163491,0.42578125,0.42578125,-0.2988161817178518,0.4,inconclusive,inconclusive,10,0.8515625
frozen_c2,fixed_300,500,QSVM_ZZ_vs_SVM_RBF,SVM_RBF,classical_kernel,f1_macro,-0.011245545022995485,-0.011745913021753984,-0.03684191577980467,0.0143508257338137,0.4921875,0.4921875,-0.31428589506048726,0.4,inconclusive,inconclusive,10,0.8515625
frozen_c2,fixed_300,500,QSVM_ZZ_vs_RandomForest,RandomForest,strong_tabular,f1_macro,-0.020417811549727705,-0.018339133364482396,-0.030562868369441956,-0.010272754730013453,0.00390625,0.00390625,-1.4397181559912353,0.1,classical-favorable,classical-favorable,10,0.0078125
