featset,model,n_train,run_id,run_seed,f1_macro,params,secs
k20,XGBoost,100,5,104,0.7485433877580342,"{""n_estimators"": 200, ""max_depth"": 3, ""learning_rate"": 0.03, ""subsample"": 0.8}",4.2
k20,RandomForest,100,5,104,0.7477127426139618,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 1}",12.3
all122,XGBoost,200,5,104,0.7424537490303165,"{""n_estimators"": 200, ""max_depth"": 3, ""learning_rate"": 0.03, ""subsample"": 1.0}",5.2
all122,RandomForest,200,5,104,0.7547695161829933,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 1}",12.6
k20,XGBoost,200,5,104,0.7707036177533071,"{""n_estimators"": 200, ""max_depth"": 5, ""learning_rate"": 0.1, ""subsample"": 0.8}",5.5
k20,RandomForest,200,5,104,0.7592629123873413,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 1}",12.5
all122,XGBoost,500,5,104,0.7702366774622,"{""n_estimators"": 500, ""max_depth"": 3, ""learning_rate"": 0.1, ""subsample"": 0.8}",6.6
all122,RandomForest,500,5,104,0.7673011050815146,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 2}",12.9
k20,XGBoost,500,5,104,0.7304482516326152,"{""n_estimators"": 500, ""max_depth"": 5, ""learning_rate"": 0.03, ""subsample"": 0.8}",6.8
k20,RandomForest,500,5,104,0.7478032284542002,"{""n_estimators"": 500, ""max_depth"": 10, ""min_samples_leaf"": 1}",13.2
all122,XGBoost,1000,5,104,0.7989236619570403,"{""n_estimators"": 500, ""max_depth"": 3, ""learning_rate"": 0.03, ""subsample"": 1.0}",8.0
all122,RandomForest,1000,5,104,0.7632362445003873,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 1}",17.0
k20,XGBoost,1000,5,104,0.7971016432165475,"{""n_estimators"": 200, ""max_depth"": 5, ""learning_rate"": 0.1, ""subsample"": 1.0}",7.7
k20,RandomForest,1000,5,104,0.7783224555090451,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 1}",16.7
all122,XGBoost,2000,5,104,0.7783935884081524,"{""n_estimators"": 500, ""max_depth"": 3, ""learning_rate"": 0.1, ""subsample"": 1.0}",9.5
all122,RandomForest,2000,5,104,0.7693890080334309,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 1}",18.1
k20,XGBoost,2000,5,104,0.7321060464394318,"{""n_estimators"": 500, ""max_depth"": 5, ""learning_rate"": 0.1, ""subsample"": 1.0}",8.8
k20,RandomForest,2000,5,104,0.7343777478611685,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 1}",18.1
all122,XGBoost,5000,5,104,0.7955509783478839,"{""n_estimators"": 500, ""max_depth"": 3, ""learning_rate"": 0.1, ""subsample"": 0.8}",12.1
all122,RandomForest,5000,5,104,0.7693477128413839,"{""n_estimators"": 500, ""max_depth"": null, ""min_samples_leaf"": 1}",20.6
k20,XGBoost,5000,5,104,0.7731602921918963,"{""n_estimators"": 200, ""max_depth"": 5, ""learning_rate"": 0.1, ""subsample"": 1.0}",9.5
k20,RandomForest,5000,5,104,0.7534787275950334,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 1}",20.3
all122,XGBoost,10000,5,104,0.7731975013603916,"{""n_estimators"": 500, ""max_depth"": 5, ""learning_rate"": 0.1, ""subsample"": 1.0}",16.1
all122,RandomForest,10000,5,104,0.7614947068071675,"{""n_estimators"": 500, ""max_depth"": null, ""min_samples_leaf"": 1}",25.5
k20,XGBoost,10000,5,104,0.7637070020624375,"{""n_estimators"": 500, ""max_depth"": 5, ""learning_rate"": 0.1, ""subsample"": 0.8}",10.7
k20,RandomForest,10000,5,104,0.7460958415783694,"{""n_estimators"": 200, ""max_depth"": 20, ""min_samples_leaf"": 1}",25.1
all122,XGBoost,100,6,105,0.7535567429477635,"{""n_estimators"": 200, ""max_depth"": 3, ""learning_rate"": 0.03, ""subsample"": 0.8}",5.0
all122,RandomForest,100,6,105,0.7782459929691934,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 1}",12.2
k20,XGBoost,100,6,105,0.7369813197218478,"{""n_estimators"": 200, ""max_depth"": 3, ""learning_rate"": 0.03, ""subsample"": 0.8}",5.4
k20,RandomForest,100,6,105,0.7353780612170107,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 2}",12.2
all122,XGBoost,200,6,105,0.7952718018925518,"{""n_estimators"": 200, ""max_depth"": 3, ""learning_rate"": 0.03, ""subsample"": 0.8}",5.4
all122,RandomForest,200,6,105,0.7850504966313742,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 1}",12.6
k20,XGBoost,200,6,105,0.758472474908083,"{""n_estimators"": 200, ""max_depth"": 3, ""learning_rate"": 0.03, ""subsample"": 0.8}",6.2
k20,RandomForest,200,6,105,0.7540274850244948,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 1}",12.6
all122,XGBoost,500,6,105,0.8077876473104946,"{""n_estimators"": 500, ""max_depth"": 5, ""learning_rate"": 0.1, ""subsample"": 1.0}",6.6
all122,RandomForest,500,6,105,0.7883933192120198,"{""n_estimators"": 500, ""max_depth"": 10, ""min_samples_leaf"": 1}",13.1
k20,XGBoost,500,6,105,0.7649797377326222,"{""n_estimators"": 500, ""max_depth"": 3, ""learning_rate"": 0.03, ""subsample"": 1.0}",7.3
k20,RandomForest,500,6,105,0.7622440213370203,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 2}",12.9
all122,XGBoost,1000,6,105,0.803971215337377,"{""n_estimators"": 500, ""max_depth"": 5, ""learning_rate"": 0.1, ""subsample"": 0.8}",8.0
all122,RandomForest,1000,6,105,0.7864463263220071,"{""n_estimators"": 200, ""max_depth"": 10, ""min_samples_leaf"": 1}",16.9
k20,XGBoost,1000,6,105,0.7390128499543563,"{""n_estimators"": 200, ""max_depth"": 5, ""learning_rate"": 0.03, ""subsample"": 0.8}",8.3
k20,RandomForest,1000,6,105,0.7438585555604915,"{""n_estimators"": 500, ""max_depth"": 10, ""min_samples_leaf"": 1}",17.5
all122,XGBoost,2000,6,105,0.7784138155250364,"{""n_estimators"": 200, ""max_depth"": 5, ""learning_rate"": 0.03, ""subsample"": 1.0}",9.3
all122,RandomForest,2000,6,105,0.7683213914952994,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 1}",17.9
k20,XGBoost,2000,6,105,0.7525675343400653,"{""n_estimators"": 500, ""max_depth"": 3, ""learning_rate"": 0.1, ""subsample"": 1.0}",8.6
k20,RandomForest,2000,6,105,0.7461842532763399,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 2}",17.9
all122,XGBoost,5000,6,105,0.7866849026187068,"{""n_estimators"": 500, ""max_depth"": 5, ""learning_rate"": 0.03, ""subsample"": 1.0}",12.2
all122,RandomForest,5000,6,105,0.7702963509966452,"{""n_estimators"": 500, ""max_depth"": null, ""min_samples_leaf"": 2}",20.6
k20,XGBoost,5000,6,105,0.750591354529451,"{""n_estimators"": 500, ""max_depth"": 3, ""learning_rate"": 0.1, ""subsample"": 0.8}",9.7
k20,RandomForest,5000,6,105,0.7407647486298528,"{""n_estimators"": 500, ""max_depth"": 10, ""min_samples_leaf"": 1}",20.9
all122,XGBoost,10000,6,105,0.7830352161207143,"{""n_estimators"": 500, ""max_depth"": 5, ""learning_rate"": 0.1, ""subsample"": 0.8}",16.8
all122,RandomForest,10000,6,105,0.7642007578193477,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 1}",25.7
