regime,n_train,model,f1_rare,recall_rare,precision_rare,margin_signed_mean,margin_signed_std,margin_abs_mean,margin_abs_std,d_signed_vs_ZZ,d_absmargin_vs_ZZ,delta_f1_rare,ci_low,ci_high,wilcoxon_p,dz_f1_rare,verdict
matched,2000,SVM_Linear,0.7086396641378894,0.5520663956639567,1.0,0.036121912313552676,0.7622297956788576,0.6996182385210937,0.35725609378412226,-0.09538472732270983,0.422009055519033,-0.02364364413639064,-0.09352933869542798,0.0462420504226467,0.431640625,-0.2420186881163743,inconclusive
matched,2000,SVM_Poly2,0.7832728114610988,0.6669376693766937,1.0,0.2949085660003611,0.6986600061189023,0.6616651925095652,0.46602255927870184,-0.4270517490077628,0.4537847310838556,-0.09827679145960018,-0.22454014157494934,0.02798655865574899,0.083984375,-0.5567964211549735,inconclusive
matched,2000,SVM_RBF,0.7023545973332499,0.5432588075880759,1.0,0.02167625249575287,1.05292270971955,0.8657029401156328,0.6014026551068625,-0.06776206945578014,0.03222897467889285,-0.017358577331751224,-0.0775802620685887,0.04286310740508625,0.6953125,-0.20619778782937745,inconclusive
matched,2000,RandomForest,0.49722077159384714,0.3317411924119241,1.0,-0.12391834894455048,0.32418180447277695,0.3179117568806083,0.1390899550393656,0.12165458400318867,1.6082864764234415,0.1877752484076516,0.13979527423441415,0.23575522258088907,0.001953125,2.7996330351027146,QSVM-favorable
matched,2000,XGBoost,0.5180743777093164,0.35149051490514904,1.0,-0.12548331514122035,0.35136356101655747,0.3480415696374123,0.13705481748177792,0.12158137854097406,1.5252937917193967,0.16692164229218232,0.1257087166020542,0.20813456798231042,0.001953125,2.897356777518952,QSVM-favorable
natural,100,QSVM_ZZ,0.3333791748788081,0.2189024390243902,1.0,-0.32333994566126956,0.4289442208381347,0.49100064139034927,0.27729524970540737,,,,,,,,
natural,100,QSVM_Z,0.40605436888452545,0.2850948509485095,1.0,-0.3869839056570795,0.5767003439114576,0.6762966085535594,0.3475010444184298,0.2102192044466046,-0.643674757048122,-0.07267519400571751,-0.22258555046554124,0.07723516245410622,0.232421875,-0.3467986011939138,inconclusive
natural,100,SVM_Linear,0.10533931062251897,0.05877371273712732,1.0,-0.8021129801027207,0.39891808930631606,0.8535572438618878,0.28396983356894107,1.2136448830368691,-1.4631800688069672,0.228039864256289,0.06439807618921264,0.3916816523233654,0.01953125,0.9968718483171471,QSVM-favorable
natural,100,SVM_Poly2,0.16649044297764062,0.09539295392953927,1.0,-0.5193118869914333,0.4462614561176368,0.6137629023586737,0.3322891439817239,0.44027811232053493,-0.3148713160046998,0.16688873190116735,-0.05019939929742692,0.38397686309976164,0.130859375,0.5499379732785682,inconclusive
natural,100,SVM_RBF,0.20995591700885288,0.13570460704607043,1.0,-0.5951923421818635,0.41632822034425665,0.7158978863473846,0.2903943741392048,0.6811472551448425,-0.8201289806607045,0.12342325786995514,-0.0323972065971001,0.2792437223370104,0.10546875,0.5666244172525741,inconclusive
