n,run_id,kernel,f1_macro,kta,offdiag_mean,offdiag_std
7,2,Z,0.8432479905726451,0.17446964842431442,0.2054591994383699,0.2635323141850003
7,3,ZZ,0.813200498132005,0.17724759544421204,0.03658228286954527,0.13776141657603683
7,3,Z,0.8062447107033095,0.17309993391418285,0.20794189861666182,0.26067748616519293
7,4,ZZ,0.7865148550080057,0.1828718175972899,0.038806648366494896,0.14282386558024796
7,4,Z,0.8331479421579533,0.16681330200984978,0.21788901014742024,0.2663050112610895
7,5,ZZ,0.8299527646568491,0.16818099558980126,0.03498381920655513,0.13096935678507768
7,5,Z,0.7991071428571428,0.1648100367637722,0.20353417516172156,0.2604017956493598
7,6,ZZ,0.8232370957521318,0.1828512267230995,0.04006261416600119,0.1468723563914897
7,6,Z,0.8366212836899138,0.1641273535582147,0.20403324963458355,0.26029700725660265
7,7,ZZ,0.8466053087901828,0.18024584371093763,0.03884374600877559,0.14287678470396503
7,7,Z,0.8466053087901828,0.17373277525309144,0.21166849751026603,0.26480333801833283
7,8,ZZ,0.8333259255966932,0.17970580469771336,0.03801738367513188,0.13997569601508875
7,8,Z,0.8063568376068376,0.1727634069465414,0.20820622370172934,0.26287018796069006
7,9,ZZ,0.8498648783905515,0.17915591225237648,0.03825072140613823,0.1418129497915864
7,9,Z,0.8265433196940046,0.17342973964142708,0.20282794599941095,0.26207642306105
7,10,ZZ,0.869755429640102,0.18794374157296867,0.041981885918432604,0.15053527704873546
7,10,Z,0.866642958748222,0.1720791061012744,0.21495440931122836,0.26739870651639686
8,1,ZZ,0.8299829982998299,0.1815218884369175,0.032563828546419704,0.14227240196466956
8,1,Z,0.8265973055889022,0.178260952436695,0.19179791220821407,0.26158556467172045
8,2,ZZ,0.7922159167076277,0.18536759608598777,0.031114879885573227,0.13450914655589286
8,2,Z,0.8398220244716352,0.1817283928705209,0.1877633245148314,0.26205369017903823
8,3,ZZ,0.7860581208771618,0.17541924282480853,0.029198628392440206,0.13095499879624
8,3,Z,0.8131256952169077,0.17914556603449844,0.18928598306406594,0.258525475455166
8,4,ZZ,0.7827903091060986,0.18146106531152623,0.030961314138994497,0.13504835625934442
