run,kernel,C,f1,f1_macro,balanced_accuracy,precision,recall,accuracy,tn,fp,fn,tp,degenerate
1,poly,10.0,0.8205128205128205,0.592074592074592,0.6111111111111112,0.6956521739130435,1.0,0.72,8,28,0,64,False
1,poly,17.7827941004,0.8205128205128205,0.592074592074592,0.6111111111111112,0.6956521739130435,1.0,0.72,8,28,0,64,False
1,poly,31.6227766017,0.8205128205128205,0.592074592074592,0.6111111111111112,0.6956521739130435,1.0,0.72,8,28,0,64,False
1,poly,56.234132519,0.8205128205128205,0.592074592074592,0.6111111111111112,0.6956521739130435,1.0,0.72,8,28,0,64,False
1,poly,100.0,0.8205128205128205,0.592074592074592,0.6111111111111112,0.6956521739130435,1.0,0.72,8,28,0,64,False
1,rbf,0.001,0.7804878048780488,0.3902439024390244,0.5,0.64,1.0,0.64,0,36,0,64,True
1,rbf,0.0017782794,0.7804878048780488,0.3902439024390244,0.5,0.64,1.0,0.64,0,36,0,64,True
1,rbf,0.0031622777,0.7804878048780488,0.3902439024390244,0.5,0.64,1.0,0.64,0,36,0,64,True
1,rbf,0.0056234133,0.7804878048780488,0.3902439024390244,0.5,0.64,1.0,0.64,0,36,0,64,True
1,rbf,0.01,0.7804878048780488,0.3902439024390244,0.5,0.64,1.0,0.64,0,36,0,64,True
1,rbf,0.0177827941,0.7804878048780488,0.3902439024390244,0.5,0.64,1.0,0.64,0,36,0,64,True
1,rbf,0.0316227766,0.7804878048780488,0.3902439024390244,0.5,0.64,1.0,0.64,0,36,0,64,True
1,rbf,0.0562341325,0.7804878048780488,0.3902439024390244,0.5,0.64,1.0,0.64,0,36,0,64,True
1,rbf,0.1,0.7804878048780488,0.3902439024390244,0.5,0.64,1.0,0.64,0,36,0,64,True
1,rbf,0.177827941,0.7950310559006211,0.47443860487338746,0.5416666666666666,0.6597938144329897,1.0,0.67,3,33,0,64,False
1,rbf,0.316227766,0.7950310559006211,0.47443860487338746,0.5416666666666666,0.6597938144329897,1.0,0.67,3,33,0,64,False
1,rbf,0.5623413252,0.7950310559006211,0.47443860487338746,0.5416666666666666,0.6597938144329897,1.0,0.67,3,33,0,64,False
1,rbf,1.0,0.7950310559006211,0.47443860487338746,0.5416666666666666,0.6597938144329897,1.0,0.67,3,33,0,64,False
1,rbf,1.77827941,0.7950310559006211,0.47443860487338746,0.5416666666666666,0.6597938144329897,1.0,0.67,3,33,0,64,False
1,rbf,3.1622776602,0.7950310559006211,0.47443860487338746,0.5416666666666666,0.6597938144329897,1.0,0.67,3,33,0,64,False
1,rbf,5.6234132519,0.7950310559006211,0.47443860487338746,0.5416666666666666,0.6597938144329897,1.0,0.67,3,33,0,64,False
1,rbf,10.0,0.7950310559006211,0.47443860487338746,0.5416666666666666,0.6597938144329897,1.0,0.67,3,33,0,64,False
1,rbf,17.7827941004,0.8,0.5,0.5555555555555556,0.6666666666666666,1.0,0.68,4,32,0,64,False
1,rbf,31.6227766017,0.8152866242038217,0.5704340097763294,0.5972222222222222,0.6881720430107527,1.0,0.71,7,29,0,64,False
1,rbf,56.234132519,0.8205128205128205,0.592074592074592,0.6111111111111112,0.6956521739130435,1.0,0.72,8,28,0,64,False
1,rbf,100.0,0.8205128205128205,0.592074592074592,0.6111111111111112,0.6956521739130435,1.0,0.72,8,28,0,64,False
2,quantum,0.001,0.7730061349693251,0.38650306748466257,0.5,0.63,1.0,0.63,0,37,0,63,True
2,quantum,0.0017782794,0.7730061349693251,0.38650306748466257,0.5,0.63,1.0,0.63,0,37,0,63,True
2,quantum,0.0031622777,0.7730061349693251,0.38650306748466257,0.5,0.63,1.0,0.63,0,37,0,63,True
2,quantum,0.0056234133,0.7730061349693251,0.38650306748466257,0.5,0.63,1.0,0.63,0,37,0,63,True
2,quantum,0.01,0.7730061349693251,0.38650306748466257,0.5,0.63,1.0,0.63,0,37,0,63,True
2,quantum,0.0177827941,0.7730061349693251,0.38650306748466257,0.5,0.63,1.0,0.63,0,37,0,63,True
2,quantum,0.0316227766,0.7730061349693251,0.38650306748466257,0.5,0.63,1.0,0.63,0,37,0,63,True
2,quantum,0.0562341325,0.7730061349693251,0.38650306748466257,0.5,0.63,1.0,0.63,0,37,0,63,True
2,quantum,0.1,0.7730061349693251,0.38650306748466257,0.5,0.63,1.0,0.63,0,37,0,63,True
2,quantum,0.177827941,0.7730061349693251,0.38650306748466257,0.5,0.63,1.0,0.63,0,37,0,63,True
2,quantum,0.316227766,0.7730061349693251,0.38650306748466257,0.5,0.63,1.0,0.63,0,37,0,63,True
